;id;id_name
0;#per12;Josef
1;#per1;Jesus
2;#per11;Maria
3;#per11;Maria
4;#per17;Heiliger Geist
5;#per1;Jesus
6;#per1;Jesus
7;#per11;Maria
8;#per1;Jesus
9;#per1;Jesus
10;#per14;Gott
11;#per1;Jesus
12;#org13;Juden
13;#pla1;Bethlehem
14;#pla2;Judäa
15;#org8;Propheten
16;#pla1;Bethlehem
17;#pla2;Judäa
18;#pla2;Judäa
19;#per1;Jesus
20;#pla4;Israel
21;#per1;Jesus
22;#per1;Jesus
23;#per11;Maria
24;#pla5;Ägypten
25;#per10;Herodes
26;#per1;Jesus
27;#pla5;Ägypten
28;#per1;Jesus
29;#pla6;Rama
30;#per16;Rahel
31;#per1;Jesus
32;#per11;Maria
33;#pla4;Israel
34;#per1;Jesus
35;#pla19;Himmelreich
36;#per14;Gott
37;#per2;Abraham
38;#per14;Gott
39;#per2;Abraham
40;#per17;Heiliger Geist
41;#per1;Jesus
42;#per1;Jesus
43;#per14;Gott
44;#per1;Jesus
45;#org4;Engel
46;#per14;Gott
47;#per14;Gott
48;#pla20;Ninive
49;#per14;Gott
50;#per14;Gott
51;#pla12;Sebulon
52;#pla13;Naftali
53;#pla9;Jordan
54;#pla7;Galiläa
55;#org16;Heiden
56;#pla19;Himmelreich
57;#pla19;Himmelreich
58;#per14;Gott
59;#per14;Gott
60;#pla19;Himmelreich
61;#pla18;Himmel
62;#org8;Propheten
63;#per14;Gott
64;#pla18;Himmel
65;#wor1;Altes Testament
66;#org8;Propheten
67;#pla18;Himmel
68;#wor1;Altes Testament
69;#pla19;Himmelreich
70;#pla19;Himmelreich
71;#org5;Schriftgelehrte
72;#org2;Pharisäer
73;#pla19;Himmelreich
74;#org1;Sanhedrin
75;#pla15;Hölle
76;#pla15;Hölle
77;#pla15;Hölle
78;#per14;Gott
79;#pla18;Himmel
80;#per14;Gott
81;#pla3;Jerusalem
82;#pla3;Jerusalem
83;#per14;Gott
84;#per14;Gott
85;#pla18;Himmel
86;#org20;Publikaner
87;#org16;Heiden
88;#per14;Gott
89;#pla18;Himmel
90;#per14;Gott
91;#pla18;Himmel
92;#pla47;Sinagoge
93;#per14;Gott
94;#pla47;Sinagoge
95;#per14;Gott
96;#per14;Gott
97;#org16;Heiden
98;#per14;Gott
99;#per14;Gott
100;#pla18;Himmel
101;#pla19;Himmelreich
102;#pla18;Himmel
103;#pla41;Erde
104;#pla19;Himmelreich
105;#per14;Gott
106;#per14;Gott
107;#per14;Gott
108;#per14;Gott
109;#pla18;Himmel
110;#per14;Gott
111;#per14;Gott
112;#per39;Salomo
113;#per14;Gott
114;#org16;Heiden
115;#per14;Gott
116;#pla18;Himmel
117;#pla19;Himmelreich
118;#per14;Gott
119;#per14;Gott
120;#pla18;Himmel
121;#wor1;Altes Testament
122;#org8;Propheten
123;#org14;Falsche Propheten
124;#per14;Gott
125;#per14;Gott
126;#pla19;Himmelreich
127;#per14;Gott
128;#pla18;Himmel
129;#per14;Gott
130;#per14;Gott
131;#org6;Dämon
132;#per1;Jesus
133;#org12;Priester
134;#per26;Mose
135;#per14;Gott
136;#org15;Kranke
137;#per14;Gott
138;#pla4;Israel
139;#pla39;Orient
140;#pla42;Westliche Welte
141;#per2;Abraham
142;#per3;Isaak
143;#per4;Jakob
144;#pla19;Himmelreich
145;#per1;Jesus
146;#per1;Jesus
147;#per14;Gott
148;#per14;Gott
149;#per1;Jesus
150;#per1;Jesus
151;#org20;Publikaner
152;#org15;Kranke
153;#org2;Pharisäer
154;#org3;Jünger
